timestamp,agent.name,syscheck.path,syscheck.event,rule.description,rule.level,rule.id
"May 7, 2025 @ 05:06:01.871","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.870","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.370","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.354","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.340","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.323","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.309","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.292","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.276","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.261","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.245","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.229","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.214","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.184","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.167","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.151","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.135","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.120","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.105","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.089","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.074","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\Persistent\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.058","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.028","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:01.027","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.995","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.995","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.964","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.963","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.933","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.932","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.901","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.886","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.870","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.853","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.853","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BFE\Parameters\Policy\BootTime\Filter","deleted","Registry Value Entry Deleted.","5","751"
"May 7, 2025 @ 05:06:00.154","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:06:00.136","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:06:00.127","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-2339272666-3457689461-1411455609-1104","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:06:00.126","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VolatileUserMgrKey\1\S-1-5-21-2339272666-3457689461-1411455609-1104","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:59.188","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:59.042","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:59.026","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:59.011","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.995","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.979","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.963","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.948","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.934","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:58.928","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6\Security","added","Registry Key Entry Added to the System","5","598"
"May 7, 2025 @ 05:05:58.928","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WpnUserService_b7fe6\Security","added","Registry Value Entry Added to the System","5","752"
"May 7, 2025 @ 05:05:58.728","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WmiApRpl\Performance","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:57.266","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WdFilter\Security","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:56.254","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WdFilter\Parameters","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:56.254","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WdFilter\Parameters","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.651","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.635","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.620","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.604","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:55.589","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.573","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.565","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\SecureTimeLimits\RunTime","modified","Registry Key Integrity Checksum Changed","5","594"
"May 7, 2025 @ 05:05:55.548","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\Config","modified","Registry Value Integrity Checksum Changed","5","750"
"May 7, 2025 @ 05:05:55.547","WIN-3KH74N2U82B","HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\Config","modified","Registry Key Integrity Checksum Changed","5","594"
