timestamp,agent.name,rule.description,rule.level,rule.id
"May 7, 2025 @ 06:43:58.279","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:40:09.934","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:40:01.835","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:40:01.794","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:24:09.916","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:24:01.850","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:24:01.808","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:13:58.273","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:08:09.913","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:08:01.845","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:08:01.804","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 06:07:12.584","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 06:07:12.541","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 06:06:45.648","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 06:04:45.210","WIN-3KH74N2U82B","Windows System error event","5","61102"
"May 7, 2025 @ 05:54:10.850","WIN-3KH74N2U82B","Windows Logon Success","3","60106"
"May 7, 2025 @ 05:52:09.910","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:52:01.787","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:52:01.786","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:43:58.221","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:36:54.018","WIN-3KH74N2U82B","Service startup type was changed","3","61104"
"May 7, 2025 @ 05:36:09.923","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:36:01.799","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:36:01.798","WIN-3KH74N2U82B","Failed attempt to perform a privileged operation","4","60107"
"May 7, 2025 @ 05:34:54.766","WIN-3KH74N2U82B","Windows User Logoff","3","60137"
